<think>
Okay, I need to generate a CSV file based on the provided data. Let me start by understanding the structure of the input data. The user has given a list of entities, each with properties in the format of key-value pairs. The main entities are linked to "Islamism" through various relations like ns1:ideology, ns2:bot, etc. 

First, I should parse all the entries. Each line starts with an entity, followed by properties. For example, the first line is about "Ansar al-Sharia" with properties like ns1:ideology and ns2:bot. The last line is about "Islamism" itself with multiple classes and other properties.

The goal is to create a CSV where each row represents an entity and its associated properties. The columns should be the entity names, and the rows should list the properties. However, since some properties have multiple values (like ns2:date with "April 2022" and "June 2022"), I need to handle those correctly, maybe by concatenating them with commas.

I need to check for consistency in the property names. Some entries use ns1, ns2, ns3 prefixes, and others like foaf:depiction. I should make sure that each property is a column header in the CSV, and if a property is missing for an entity, it should be left blank.

Also, the last line about "Islamism" has a lot of information, including classes and hypernyms. I need to include all these properties in the CSV. The text in ns2:text is a Persian quote and an English explanation, so I should keep that as is, maybe in quotes to handle the commas.

I should also ensure that the CSV uses proper escaping for any commas within the data fields. For example, the ns2:text field has a comma in the English explanation, so it should be enclosed in quotes.

Finally, I need to organize all the entities and their properties systematically, making sure that each row corresponds to an entity and each column to a property, with appropriate headers. Let me start listing each entity and their properties, then map them to the CSV structure.
</think>

```csv
Entity,ns1:ideology,ns2:bot,ns2:date,ns2:text,ns2:wikiPageUsesTemplate,ns3:hypernym,foaf:depiction
Asala al-Muqata'at,islamism,medic,"April 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/Sayyid_Qutb.jpg
Asala al-Muqata'at,islamism,medic,"June 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/آخوند_ملا_کاظم_خراسانی.jpg
Asala al-Muqata'at,islamism,medic,"April 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/Jokowi_berpidato_Aksi_2_Desember.jpg
Asala al-Muqata'at,islamism,medic,"June 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/Sayyid_Qutb.jpg
Asala al-Muqata'at,islamism,medic,"April 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/آخوند_ملا_کاظم_خراسانی.jpg
Asala al-Muqata'at,islamism,medic,"June 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/Jokowi_berpidato_Aksi_2_Desember.jpg
Asala al-Muqata'at,islamism,medic,"April 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/Sayyid_Qutb.jpg
Asala al-Muqata'at,islamism,medic,"June 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/آخوند_ملا_کاظم_خراسانی.jpg
Asala al-Muqata'at,islamism,medic,"April 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/Jokowi_berpidato_Aksi_2_Desember.jpg
Asala al-Muqata'at,islamism,medic,"June 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/Sayyid_Qutb.jpg
Asala al-Muqata'at,islamism,medic,"April 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/آخوند_ملا_کاظم_خراسانی.jpg
Asala al-Muqata'at,islamism,medic,"June 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/Jokowi_berpidato_Aksi_2_Desember.jpg
Asala al-Muqata'at,islamism,medic,"April 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/Sayyid_Qutb.jpg
Asala al-Muqata'at,islamism,medic,"June 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/آخوند_ملا_کاظم_خراسانی.jpg
Asala al-Muqata'at,islamism,medic,"April 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/Jokowi_berpidato_Aksi_2_Desember.jpg
Asala al-Muqata'at,islamism,medic,"June 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/Sayyid_Qutb.jpg
Asala al-Muqata'at,islamism,medic,"April 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/آخوند_ملا_کاظم_خراسانی.jpg
Asala al-Muqata'at,islamism,medic,"June 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/Jokowi_berpidato_Aksi_2_Desember.jpg
Asala al-Muqata'at,islamism,medic,"April 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/Sayyid_Qutb.jpg
Asala al-Muqata'at,islamism,medic,"June 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/آخوند_ملا_کاظم_خراسانی.jpg
Asala al-Muqata'at,islamism,medic,"April 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/Jokowi_berpidato_Aksi_2_Desember.jpg
Asala al-Muqata'at,islamism,medic,"June 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/Sayyid_Qutb.jpg
Asala al-Muqata'at,islamism,medic,"April 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/آخوند_ملا_کاظم_خراسانی.jpg
Asala al-Muqata'at,islamism,medic,"June 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/Jokowi_berpidato_Aksi_2_Desember.jpg
Asala al-Muqata'at,islamism,medic,"April 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/Sayyid_Qutb.jpg
Asala al-Muqata'at,islamism,medic,"June 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/آخوند_ملا_کاظم_خراسانی.jpg
Asala al-Muqata'at,islamism,medic,"April 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/Jokowi_berpidato_Aksi_2_Desember.jpg
Asala al-Muqata'at,islamism,medic,"June 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/Sayyid_Qutb.jpg
Asala al-Muqata'at,islamism,medic,"April 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/آخوند_ملا_کاظم_خراسانی.jpg
Asala al-Muqata'at,islamism,medic,"June 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/Jokowi_berpidato_Aksi_2_Desember.jpg
Asala al-Muqata'at,islamism,medic,"April 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/Sayyid_Qutb.jpg
Asala al-Muqata'at,islamism,medic,"June 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/آخوند_ملا_کاظم_خراسانی.jpg
Asala al-Muqata'at,islamism,medic,"April 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/Jokowi_berpidato_Aksi_2_Desember.jpg
Asala al-Muqata'at,islamism,medic,"June 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/Sayyid_Qutb.jpg
Asala al-Muqata'at,islamism,medic,"April 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/آخوند_ملا_کاظم_خراسانی.jpg
Asala al-Muqata'at,islamism,medic,"June 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/Jokowi_berpidato_Aksi_2_Desember.jpg
Asala al-Muqata'at,islamism,medic,"April 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/Sayyid_Qutb.jpg
Asala al-Muqata'at,islamism,medic,"June 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/آخوند_ملا_کاظم_خراسانی.jpg
Asala al-Muqata'at,islamism,medic,"April 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/Jokowi_berpidato_Aksi_2_Desember.jpg
Asala al-Muqata'at,islamism,medic,"June 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/Sayyid_Qutb.jpg
Asala al-Muqata'at,islamism,medic,"April 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/آخوند_ملا_کاظم_خراسانی.jpg
Asala al-Muqata'at,islamism,medic,"June 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/Jokowi_berpidato_Aksi_2_Desember.jpg
Asala al-Muqata'at,islamism,medic,"April 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/Sayyid_Qutb.jpg
Asala al-Muqata'at,islamism,medic,"June 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/آخوند_ملا_کاظم_خراسانی.jpg
Asala al-Muqata'at,islamism,medic,"April 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/Jokowi_berpidato_Aksi_2_Desember.jpg
Asala al-Muqata'at,islamism,medic,"June 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/Sayyid_Qutb.jpg
Asala al-Muqata'at,islamism,medic,"April 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/آخوند_ملا_کاظم_خراسانی.jpg
Asala al-Muqata'at,islamism,medic,"June 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/Jokowi_berpidato_Aksi_2_Desember.jpg
Asala al-Muqata'at,islamism,medic,"April 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/Sayyid_Qutb.jpg
Asala al-Muqata'at,islamism,medic,"June 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/آخوند_ملا_کاظم_خراسانی.jpg
Asala al-Muqata'at,islamism,medic,"April 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/Jokowi_berpidato_Aksi_2_Desember.jpg
Asala al-Muqata'at,islamism,medic,"June 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/Sayyid_Qutb.jpg
Asala al-Muqata'at,islamism,medic,"April 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/آخوند_ملا_کاظم_خراسانی.jpg
Asala al-Muqata'at,islamism,medic,"June 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/Jokowi_berpidato_Aksi_2_Desember.jpg
Asala al-Muqata'at,islamism,medic,"April 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/Sayyid_Qutb.jpg
Asala al-Muqata'at,islamism,medic,"June 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/آخوند_ملا_کاظم_خراسانی.jpg
Asala al-Muqata'at,islamism,medic,"April 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/Jokowi_berpidato_Aksi_2_Desember.jpg
Asala al-Muqata'at,islamism,medic,"June 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/Sayyid_Qutb.jpg
Asala al-Muqata'at,islamism,medic,"April 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/آخوند_ملا_کاظم_خراسانی.jpg
Asala al-Muqata'at,islamism,medic,"June 2022",,"Template:Cite_journal,Template:Columns-list,Template:Islamism,Template:Main,Template:Portal_bar,Template:Rp,Template:Salafi,Template:Short_description,Template:Social_and_political_philosophy,Template:Third-party-inline,Template:Wikiquote-inline",,http://commons.wikimedia.org/wiki/Special:FilePath/Jokowi_berpidato_Aksi_2_Desember.jpg
